category,sv,en,no,da,is,cd
articles,16.8,182,0,0.2,0,0
books_hq,0.8,96,0,0,0,0
code,0,0,0,0,0,126
conversational,69.1,102.6,0.8,3.4,0.2,0
math,14,15,0,0,0,0
misc,20.8,91.8,56.1,16.5,11.4,0
web_commoncrawl,206,62,100.1,121.6,9.6,0
web_sources,9.2,0.1,0,1.9,0,0
wiki,1.3,16,0.5,0.4,0.1,0
