category,sv,en,no,da,is,cd
articles,1,1,0,1,0,0
books_hq,1,1,0,0,0,0
code,0,0,0,0,0,1
conversational,1,1,1,1,1,0
math,1,1,0,0,0,0
misc,1,1,1,1,1,0
web_commoncrawl,1,1,1,1,1,0
web_sources,1,1,0,1,0,0
wiki,1,1,1,1,1,0
